neighborhood,latitude,longitude
vila bela,-23.618619999999964,-46.44617999999997
jardim redil,-23.53156999999993,-46.685769999999934
vila parque jabaquara,-23.63791999999995,-46.655749999999955
jardim mitsutani,-23.647419999999954,-46.79033999999996
jardim das laranjeiras,-23.509999999999934,-46.66603999999995
conjunto habitacional padre jose de anchieta,-23.47473999999994,-46.75679999999994
santa teresinha,-23.492569999999944,-46.635159999999985
vila lageado,-23.552779999999927,-46.75146999999998
jardim francisco mendes,-23.635729999999967,-46.45946999999995
jardim paulistano,-23.571909999999946,-46.686849999999936
jardim maristela,-23.47456999999997,-46.69966999999997
conjunto habitacional padre manoel de paiva,-23.47473999999994,-46.75679999999994
penha,-23.52216999999996,-46.53067999999996
vila leopoldina,-23.532369999999958,-46.736129999999946
cidade universitaria,-23.562199959327558,-46.72037994802015
vila guarani,-23.635759999999948,-46.63522999999998
chacara belenzinho,-23.57547999999997,-46.538599999999974
jardim martins silva,-23.43987999999996,-46.583019999999976
vila bela vista,-23.46605999999997,-46.65733999999998
jardim virginia bianca,-23.455299999999966,-46.61729999999994
vila santa catarina,-23.651899999999955,-46.65900999999997
city america,-23.49959999999993,-46.73054999999994
parque mandaqui,-23.474419999999952,-46.63478999999995
jardim carlu,-23.53156999999993,-46.685769999999934
jardim santa adelia,-23.617119999999943,-46.48096999999996
jardim alvorada,-23.76893999999993,-46.70946999999995
vila monte alegre,-23.627629999999954,-46.63653999999997
alto da mooca,-23.569879999999955,-46.586059999999975
jardim castelo,-23.70285999999993,-46.62627999999995
barra funda,-23.52909999999997,-46.662079999999946
jardim jussara,-23.60182999999995,-46.746339999999975
jardim ipanema,-23.68856999999997,-46.71169999999995
sitio do mandaqui,-23.48435999999998,-46.65930999999995
conjunto habitacional juscelino kubitschek,-23.567199999999957,-46.39358999999996
jardim sao luis,-23.653189999999938,-46.737949999999955
se,-23.550029999999936,-46.63113999999996
parque novo mundo,-23.51476999999994,-46.56380999999993
vila palmeiras,-23.497099999999932,-46.68599999999998
lapa,-23.52365999999995,-46.713589999999954
tucuruvi,-23.474069999999983,-46.610739999999964
conjunto habitacional jova rural,-23.451689999999928,-46.57753999999994
vila invernada,-23.568089999999927,-46.564089999999965
vila independencia,-23.596599999999967,-46.58794999999998
jardim filhos da terra,-23.447719999999947,-46.577409999999986
vila mendes,-23.611839999999972,-46.529709999999966
guarapiranga,-23.681689999999946,-46.74035999999995
parada xv de novembro,-23.53099999999995,-46.43557999999996
liberdade,-23.558389999999974,-46.632919999999956
